target,E_D_4_Corallinophycidae,B_D_4_Hyphomonadaceae,B_D_4_Defluviitaleaceae,B_D_4_Desulfobulbaceae,E_D_4_Novel_Apicomplexa_Class_1,E_D_4_Rhodymeniophycidae,B_D_4_Kiloniellaceae,B_D_4_Pirellulaceae,B_D_4_Flavobacteriaceae,E_D_4_Intramacronucleata,B_D_4_Crocinitomicaceae,B_D_4_Marinilabiliaceae,B_D_3_BD7_8_other,B_D_4_uncultured_Aminicenantes_bacterium,B_D_4_Erysipelotrichaceae,B_D_4_bacterium_enrichment_culture_clone_22(2013),B_D_4_Clostridiaceae_1
1,0,0,0.050271466,7.319525437,0.546890824,0,0.382063141,5.620349889,4.936657953,0.796705152,0.060325759,0,0,0,0,0.150814398,0.22119445
1,0,0,0,7.493246125,0.757282627,0.055276104,0.071093417,4.251386322,4.706384189,0.215576806,0.071093417,0.12796815,0,0.2559363,0.199061567,0.312811034,0
1,0,0.073188583,0,7.64820688,0.562172463,0.095283468,0.195169554,4.91583313,7.318858258,0.524059076,0.182971456,0.08538668,0,0.158575262,0,0,0.134179068
1,0,0,0,8.920563741,1.284742098,0.044520766,0.128122998,5.429212044,6.69442665,0.279844813,0,0.240230621,0,0.256245996,0,0.192184497,0
0,0,0,0,6.997682296,0.2476362,0,0.267427349,6.14191478,2.870386878,3.134849167,0,0.240684614,0.115885185,0,0,0.187199144,0.347655554
0,0,0,0,5.126625599,0.404225999,0,0.260095825,5.017111567,2.8678987,1.846577859,0,0.410677618,0,0.075290897,0.075290897,0.171115674,0.561259411
0,0,0,0,7.180096954,0.206944125,0,0.320131711,6.055062654,4.582456782,0.879512532,0.091466203,0.493917497,0,0,0.064026342,0.265251989,0.082319583
0,0,0,0,6.603915663,0.125110051,0,0.346385542,6.551204819,4.442771084,0.301190862,0,0.30873494,0,0,0.060240964,0.165662651,0.361445783
0,0,0,0,7.657498409,0.344162996,0,0.190907163,6.801951495,4.320158382,1.417951542,0,0.098988899,0.070706357,0.077776992,0,0.304037333,0.233330976
0,0,0,0,7.420445917,0.18900106,0.119854331,0.276109616,6.93725409,5.142541589,0.557783617,0,0.303720577,0,0.151860289,0.055221923,0.207082212,0.269206875
1,7.265258216,0.330730363,0,3.536977492,0.334507042,3.133802817,0.367478181,8.764354616,17.44602664,0.399061033,0.339917317,0.119430409,0.358291226,0,0,0.082682591,0
1,31.03150315,0.484205672,1.683191146,2.674659903,0.309630963,0,0,6.041042195,17.15471524,0.291629163,0.184459304,0.069172239,0.276688955,0,0.23057413,0.115287065,0
1,1.594867911,0.510663863,0.070091118,4.135375989,0.360850002,0.944446919,0.170221288,6.738760389,17.32251928,0.169287655,0.230299389,0.110143186,0.340442575,0,0.050065085,0,0.150195254
1,0.145952622,0.846042525,0.077924969,2.816431036,1.010441226,0,0.356228431,6.02248692,23.09918735,3.121140676,0.489814093,0,0.434153401,0,0,0,0.311699878
1,0.469804048,0.550990817,0,3.692605123,0.55814327,0.20077096,0.318994683,7.694538424,17.08071532,0.61034372,0.328661189,0,1.246979217,0,0.067665539,0,0.038666022
1,0.252374777,0,0.40004572,10.02400274,0.287426829,7.287321673,0.571493885,2.754600526,5.71493885,0.325984086,0,1.851640187,0.125728655,0,0,0.068579266,0.377185964
0,0.018273184,0.151886903,0,6.297464657,0.277143292,0.012182123,0.981423063,7.325622152,20.32947774,1.279122887,0.303773805,0.327141021,0.72438369,0,0,0,0
0,0.149418056,0,0,3.809641228,0.141553948,0.035388487,1.750708914,7.939834792,13.06867217,5.044825417,0.406854888,0.135618296,1.023301689,0,0,0,0
0,0.072595281,0.170619348,0,4.299607575,0.369026013,0,1.262583177,7.456065518,13.68367173,1.739261948,0.221805153,0.272990957,1.023716089,0,0,0,0
0,0.123654683,0,0.146305779,4.82809071,0.114495077,0.012212808,2.048280907,5.888807608,9.692757864,2.247156706,0.109729334,0,1.426481346,0,0,0,0
0,0.061073006,0,0,4.491017964,0.17382317,0.051677159,1.767892786,11.86199031,10.66438551,7.746875881,0.313658397,0,1.140575991,0,0,0.099800399,0
0,0.072500853,0.049751244,0,2.748756219,0.204708291,0.038382805,1.865671642,10.52238806,11.60447761,12.52132378,0.174129353,0,1.778606965,0,0,0,0
