yyyy,mm,dd,areaNo.,flag,Temp.
2017,12,20,508,P,14.61
2017,12,21,508,P,14.75
2017,12,22,508,P,14.75
2017,12,23,508,P,14.72
2017,12,24,508,P,14.63
2017,12,25,508,P,14.46
2017,12,26,508,P,14.3
2017,12,27,508,P,14.24
2017,12,28,508,P,14.13
2017,12,29,508,P,14.04
2017,12,30,508,P,13.92
2017,12,31,508,P,13.81
2018,1,1,508,P,13.72
2018,1,2,508,P,13.46
2018,1,3,508,P,13.35
2018,1,4,508,P,13.25
2018,1,5,508,P,13.19
2018,1,6,508,P,13.22
2018,1,7,508,P,13.21
2018,1,8,508,P,13.2
2018,1,9,508,P,12.92
2018,1,10,508,P,12.89
2018,1,11,508,P,12.76
2018,1,12,508,P,12.7
2018,1,13,508,P,12.66
2018,1,14,508,P,12.25
2018,1,15,508,P,12.54
2018,1,16,508,P,12.61
2018,1,17,508,P,12.52
2018,1,18,508,P,12.21
2018,1,19,508,P,11.76
2018,1,20,508,P,11.75
2018,1,21,508,P,11.67
2018,1,22,508,P,11.62
2018,1,23,508,P,11.59
2018,1,24,508,P,11.39
2018,1,25,508,P,11.17
2018,1,26,508,P,11.1
2018,1,27,508,P,11.17
2018,1,28,508,P,11.24
2018,1,29,508,P,11.26
2018,1,30,508,P,11.2
2018,1,31,508,P,10.89
2018,2,1,508,P,10.75
2018,2,2,508,P,10.57
2018,2,3,508,P,10.5
2018,2,4,508,P,10.36
2018,2,5,508,P,10.31
2018,2,6,508,P,10.25
2018,2,7,508,P,10.27
2018,2,8,508,P,10.43
2018,2,9,508,P,10.58
2018,2,10,508,P,10.68
2018,2,11,508,P,10.35
2018,2,12,508,P,10.18
2018,2,13,508,P,10.2
2018,2,14,508,P,10.27
2018,2,15,508,P,10.4
2018,2,16,508,P,10.41
2018,2,17,508,P,10.79
2018,2,18,508,P,10.65
2018,2,19,508,P,10.63
2018,2,20,508,P,10.54
2018,2,21,508,P,10.54
2018,2,22,508,P,10.44
2018,2,23,508,P,10.69
2018,2,24,508,P,10.79
2018,2,25,508,P,10.83
2018,2,26,508,P,11.11
2018,2,27,508,P,11.24
2018,2,28,508,P,11.4
2018,3,1,508,P,11.3
2018,3,2,508,P,11.37
2018,3,3,508,P,11.28
2018,3,4,508,P,11.5
2018,3,5,508,P,11.63
2018,3,6,508,P,11.64
2018,3,7,508,P,11.47
2018,3,8,508,P,11.35
2018,3,9,508,P,10.97
2018,3,10,508,P,10.9
2018,3,11,508,P,10.92
2018,3,12,508,P,10.92
2018,3,13,508,P,11.39
2018,3,14,508,P,11.85
2018,3,15,508,P,11.97
2018,3,16,508,P,12.04
2018,3,17,508,P,11.58
2018,3,18,508,P,11.31
2018,3,19,508,P,11.19
2018,3,20,508,P,11.01
2018,3,21,508,P,11.18
2018,3,22,508,P,10.63
2018,3,23,508,P,10.87
2018,3,24,508,P,11.29
2018,3,25,508,P,11.69
2018,3,26,508,P,11.89
